,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
0,"3 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",1190 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom3,₹1.65 Cr 
1,"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",652 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹90 Lac 
2,"4 BHK Flat for Sale in The Strand, Kharadi, Pune",1566 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyThe Strand,Bathroom4,₹2.02 Cr 
3,"2 BHK Flat for Sale in Majestique Marbella, Kharadi, Pune",810 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹1.05 Cr 
4,"2 BHK Flat for Sale in Pristine Allure, Kharadi, Pune",753 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹87.4 Lac 
5,"3 BHK Flat for Sale in Marvel Zephyr, Kharadi, Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyMarvel Zephyr,Bathroom3,₹3.50 Cr 
6,"2 BHK Flat for Sale in Majestique Marbella, Kharadi, Pune",824 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹90 Lac 
7,"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",652 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹77 Lac 
8,"2 BHK Flat for Sale in Flamante By VTP Luxe Phase 1, Kharadi, Pune",1029 sqft,Under ConstructionPoss. by Jun '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹78 Lac 
9,"2 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune",1087 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹79 Lac 
10,"3 BHK Flat for Sale in Flamante By VTP Luxe Phase 1, Kharadi, Pune",1085 sqft,Under ConstructionPoss. by Aug '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom3,₹1.34 Cr 
11,"3 BHK Flat for Sale in Pristine Allure, Kharadi, Pune",1016 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.12 Cr 
12,"2 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune",674 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹73.5 Lac 
13,"2 BHK Flat for Sale in VTP Euphoria, Kharadi, Pune",855 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom2,₹81.2 Lac 
14,"2 BHK Flat for Sale in Flamante By VTP Luxe Phase 1, Kharadi, Pune",762 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹86 Lac 
15,"3 BHK Flat for Sale in Kharadi, Pune",1000 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,,Bathroom3,₹1.35 Cr 
16,"2 BHK Flat for Sale in Kohinoor Kaleido, Kharadi, Pune",720 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyKohinoor Kaleido,Bathroom2,₹75 Lac 
17,"2 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune",800 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹81 Lac 
18,"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",654 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹73.6 Lac 
19,"2 BHK Flat for Sale in Gera World of Joy, Kharadi, Pune",729 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom2,₹87.4 Lac 
20,"2 BHK Flat for Sale in Unique Youtopia, Kharadi, Pune",767 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom2,₹89.9 Lac 
21,"2 BHK Flat for Sale in Riverdale Grove, Kharadi, Pune",821 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grove,Bathroom2,₹95.2 Lac 
22,"2 BHK Flat for Sale in Gulmohar Parkview, Kharadi, Pune",900 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGulmohar Parkview,Bathroom2,₹93 Lac 
23,"3 BHK Flat for Sale in The Strand, Kharadi, Pune",1336 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyThe Strand,Bathroom3,₹1.68 Cr 
24,"3 BHK Flat for Sale in Panchshil Towers, Kharadi, Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom4,₹3.25 Cr 
25,"2 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune",856 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹92.5 Lac 
26,"3 BHK Flat for Sale in Kharadi, Pune",1133 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹1.49 Cr 
27,"2 BHK Flat for Sale in ARV Uthville, Kharadi, Pune",756 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyARV Uthville,Bathroom2,₹76 Lac 
28,"3 BHK Flat for Sale in Gera World of Joy, Kharadi, Pune",1121 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.50 Cr 
29,"2 BHK Flat for Sale in Gera World of Joy, Kharadi, Pune",1000 sqft,Under ConstructionPoss. by Aug '26,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom2,₹95 Lac 
30,"2 BHK Apartment for Sale in Zen Estate, EON Free Zone, Kharadi Pune",745 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹92 Lac 
31,"5 BHK Apartment for Sale in Panchshil Towers, EON Free Zone, Kharadi Pune",4500 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom5,₹9 Cr 
32,"3 BHK Apartment for Sale in Nyati Elysia 3, Kharadi Pune",1157 sqft,Under ConstructionPoss. by May '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyNyati Elysia 3,Bathroom3,₹1.52 Cr 
33,"2 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",808 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom2,₹97 Lac 
34,"3 BHK Apartment for Sale in Gera World of Joy, Ubale Nagar Pune",1205 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.60 Cr 
35,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",808 sqft,Under ConstructionPoss. by Jan '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹90.5 Lac 
36,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1089 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.40 Cr 
37,3 BHK Apartment for Sale in Kharadi Pune,906 sqft,Under ConstructionPoss. by Oct '25,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹93 Lac 
38,"3 BHK Apartment for Sale in Palladio Kharadi Central, Kharadi Pune",1125 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyPalladio Kharadi Central,Bathroom3,₹1.30 Cr 
39,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1150 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom3,₹1.55 Cr 
40,"3 BHK Apartment for Sale in VTP Dolce Vita, EON Free Zone, Kharadi Pune",1080 sqft,Under ConstructionPoss. by Jun '27,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom3,₹1.15 Cr 
41,"2 BHK Apartment for Sale in Empyrean Leela, Kharadi Pune",774 sqft,Under ConstructionPoss. by Sep '26,TransactionNew Property,FurnishingUnfurnished,SocietyEmpyrean Leela,Bathroom2,₹96 Lac 
42,"2 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",726 sqft,Under ConstructionPoss. by Aug '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom2,₹1.06 Cr 
43,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Gaon, Kharadi Pune",749 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹95 Lac 
44,4 BHK Apartment for Sale in Kharadi Pune,1819 sqft,Under ConstructionPoss. by Oct '27,TransactionNew Property,FurnishingUnfurnished,,Bathroom5,₹3.06 Cr 
45,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1245 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom3,₹1.31 Cr 
46,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",765 sqft,Under ConstructionPoss. by Sep '25,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹85.5 Lac 
47,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Gaon, Kharadi Pune",760 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹90 Lac 
48,"2 BHK Apartment for Sale in Zen Elite, Kharadi Pune",838 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹90 Lac 
49,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",760 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹77.6 Lac 
50,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1200 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grand,Bathroom3,₹1.25 Cr 
51,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",824 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹90 Lac 
52,"3 BHK Apartment for Sale in Ganga Serio, Kharadi Pune",2512 sqft,Under ConstructionPoss. by Mar '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyGanga Serio,Bathroom3,₹2.35 Cr 
53,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1040 sqft,Under ConstructionPoss. by Nov '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.31 Cr 
54,2 BHK Apartment for Sale in Kharadi Pune,824 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹85 Lac 
55,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1222 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.10 Cr 
56,"2 BHK Apartment for Sale in Zen Elite, Kharadi Pune",838 sqft,Under ConstructionPoss. by Jun '25,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹85.5 Lac 
57,"3 BHK Apartment for Sale in Riverdale Heights, Kharadi Pune",1085 sqft,Under ConstructionPoss. by Feb '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Heights,Bathroom3,₹1.15 Cr 
58,"3 BHK Apartment for Sale in Unique Youtopia, EON Free Zone, Kharadi Pune",932 sqft,Under ConstructionPoss. by Jul '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom2,₹97 Lac 
59,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",762 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom2,₹75.2 Lac 
60,2 BHK Apartment for Sale in Kharadi Pune,767 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,,Bathroom2,₹65.5 Lac 
61,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",776 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom2,₹90 Lac 
62,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",762 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹90 Lac 
63,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1290 sqft,Under ConstructionPoss. by Oct '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom3,₹1.48 Cr 
64,3 BHK Apartment for Sale in Kharadi Pune,1520 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,,Bathroom3,₹1.69 Cr 
65,"3 BHK Apartment for Sale in VTP Township Codename Pegasus, EON Free Zone, Kharadi Pune",1217 sqft,Under ConstructionPoss. by Oct '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom3,₹1.23 Cr 
66,"3 BHK Apartment for Sale in Ganga Platinum, Kharadi Pune",1586 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyGanga Platinum,Bathroom4,₹2.19 Cr 
67,"3 BHK Apartment for Sale in Vertillas, EON Free Zone, Kharadi Pune",1555 sqft,Under ConstructionPoss. by Jul '24,TransactionNew Property,FurnishingUnfurnished,SocietyVertillas,Bathroom4,₹1.99 Cr 
68,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",912 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹93.2 Lac 
69,"2 BHK Apartment for Sale in Riverdale Grove, EON Free Zone, Kharadi Pune",652 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹84.5 Lac 
70,"3 BHK Apartment for Sale in VTP Township Codename Pegasus, Kharadi Pune",1055 sqft,Under ConstructionPoss. by Jul '24,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom2,₹1.51 Cr 
71,"2 BHK Apartment for Sale in Gera Planet Of Joy, Kharadi Pune",1685 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera Planet Of Joy,Bathroom2,₹2.76 Cr 
72,"2 BHK Apartment for Sale in ARV Uthville, Kharadi Pune",705 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyARV Uthville,Bathroom2,₹73.2 Lac 
73,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",940 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom3,₹1 Cr 
74,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",675 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹66.3 Lac 
75,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",763 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹79.2 Lac 
76,"5 BHK Penthouse for Sale in Eon Waterfront, Kharadi Pune",6000 sqft,,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom5,₹5.15 Cr 
77,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",857 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingFurnished,SocietyVTP Dolce Vita,Bathroom2,₹92.1 Lac 
78,"3 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",2400 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom4,₹2.55 Cr 
79,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1008 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹1.12 Cr 
80,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1000 sqft,Under ConstructionPoss. by Oct '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹1.15 Cr 
81,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1200 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grand,Bathroom3,₹1.28 Cr 
82,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1020 sqft,Under ConstructionPoss. by Jul '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹98 Lac 
83,"3 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",1095 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Towers,Bathroom3,₹1.10 Cr 
84,"2 BHK Apartment for Sale in VTP Euphoria, Kharadi Pune",850 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Euphoria,Bathroom2,₹80 Lac 
85,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",1000 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom3,₹1.10 Cr 
86,4 BHK Apartment for Sale in Kharadi Pune,1885 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,,Bathroom4,₹2.75 Cr 
87,"3 BHK Apartment for Sale in Ganga Serio, Thite Nagar, Kharadi Pune",2228 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Serio,Bathroom3,₹2.62 Cr 
88,"4 BHK Penthouse for Sale in Ganga Serio, Kharadi Gaon, Kharadi Pune",2320 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Serio,Bathroom4,₹2.73 Cr 
89,"4 BHK Apartment for Sale in The Strand, Kharadi Pune",2456 sqft,Under ConstructionPoss. by Oct '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyThe Strand,Bathroom4,₹3.21 Cr 
90,4 BHK Apartment for Sale in Kharadi Pune,1830 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹3.30 Cr 
91,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",855 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹1.25 Cr 
92,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",674 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹77 Lac 
93,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",757 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹90 Lac 
94,"2 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",840 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom2,₹98 Lac 
95,"3 BHK Apartment for Sale in Unique Youtopia, Thite Nagar, Kharadi Pune",1000 sqft,Under ConstructionPoss. by Sep '24,TransactionNew Property,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom3,₹1.23 Cr 
96,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",1700 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom4,₹3.36 Cr 
97,"3 BHK Apartment for Sale in Zen Elite, EON Free Zone, Kharadi Pune",1120 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹1.50 Cr 
98,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",674 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹76 Lac 
99,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",928 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom3,₹1.03 Cr 
100,"2 BHK Apartment for Sale in VTP Township Codename Pegasus, Kharadi Pune",810 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom2,₹83 Lac 
101,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1018 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom3,₹1.05 Cr 
102,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",848 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹89.3 Lac 
103,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, EON Free Zone, Kharadi Pune",848 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹94 Lac 
104,"3 BHK Apartment for Sale in Yashwin Orizzonte, Kharadi Pune",927 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyYashwin Orizzonte,Bathroom2,₹1.35 Cr 
105,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",737 sqft,Under ConstructionPoss. by Mar '26,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹1 Cr 
106,"4 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",2290 sqft,Under ConstructionPoss. by Mar '27,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grand,Bathroom4,₹2.95 Cr 
107,"2 BHK Apartment for Sale in Ganga Serio, Kharadi Pune",969 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Serio,Bathroom2,₹1.19 Cr 
108,3 BHK Apartment for Sale in Kharadi Pune,1080 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹1.22 Cr 
109,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1064 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.17 Cr 
110,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",826 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹91.4 Lac 
111,"3 BHK Apartment for Sale in The Strand, Kharadi Pune",1400 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyThe Strand,Bathroom3,₹1.65 Cr 
112,"2 BHK Apartment for Sale in Vertillas, Kharadi Pune",1100 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyVertillas,Bathroom2,₹1.21 Cr 
113,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",855 sqft,Under ConstructionPoss. by Dec '25,TransactionResale,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹87 Lac 
114,"2 BHK Apartment for Sale in Gera Planet Of Joy, Kharadi Pune",675 sqft,Under ConstructionPoss. by Dec '26,TransactionResale,FurnishingUnfurnished,SocietyGera Planet Of Joy,Bathroom2,₹75 Lac 
115,"3 BHK Apartment for Sale in VTP Township Codename Pegasus, Kharadi Gaon, Kharadi Pune",1417 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom3,₹1.10 Cr 
116,"2 BHK Apartment for Sale in ARV Uthville, Kharadi Pune",741 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyARV Uthville,Bathroom2,₹79.9 Lac 
117,"2 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",726 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom2,₹87.7 Lac 
118,"2 BHK Apartment for Sale in ARV Uthville, EON Free Zone, Kharadi Pune",741 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyARV Uthville,Bathroom2,₹81 Lac 
119,"3 BHK Apartment for Sale in VTP Dolce Vita, EON Free Zone, Kharadi Pune",1245 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyVTP Dolce Vita,Bathroom3,₹1.23 Cr 
120,"2 BHK Apartment for Sale in ARV Uthville, Kharadi Pune",900 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingSemi-Furnished,SocietyARV Uthville,Bathroom2,₹75 Lac 
121,"3 BHK Apartment for Sale in Palladio Kharadi Central, Kharadi Pune",1100 sqft,Under ConstructionPoss. by Aug '26,TransactionNew Property,FurnishingUnfurnished,SocietyPalladio Kharadi Central,Bathroom3,₹1.35 Cr 
122,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Gaon, Kharadi Pune",1050 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹99 Lac 
123,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1240 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom3,₹1.44 Cr 
124,"2 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",780 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyPristine Allure,Bathroom2,₹80 Lac 
125,"2 BHK Apartment for Sale in Majestique Towers, Ubale Nagar Pune",760 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyMajestique Towers,Bathroom2,₹75 Lac 
