,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
1335,"2 BHK Apartment for Sale in Gera Song of Joy, EON Free Zone, Kharadi Pune",947 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Song of Joy,Bathroom2,₹1.30 Cr 
1336,"3 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",1870 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom5,₹2.20 Cr 
1337,"3 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",1688 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.75 Cr 
1338,"3 BHK Apartment for Sale in Nyati Elysia IV, Kharadi Pune",1119 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyNyati Elysia IV,Bathroom3,₹1.72 Cr 
1339,"3 BHK Apartment for Sale in VTP Altair, Kharadi Gaon, Kharadi Pune",1062 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyVTP Altair,Bathroom3,₹1.30 Cr 
1340,"2 BHK Apartment for Sale in Yashwin Orizzonte, EON Free Zone, Kharadi Pune",737 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyYashwin Orizzonte,Bathroom2,₹1 Cr 
1341,"2 BHK Apartment for Sale in Gera Song of Joy Phase 1, Kharadi Pune",850 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Song of Joy Phase 1,Bathroom2,₹1.10 Cr 
1342,"2 BHK Apartment for Sale in Alcon Renaissant, Kharadi Pune",950 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyAlcon Renaissant,Bathroom2,₹1.05 Cr 
1343,"3 BHK Apartment for Sale in Deccan Gold, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyDeccan Gold,Bathroom3,₹1.25 Cr 
1344,"2 BHK Apartment for Sale in Nyati Elysia, Ashoka Nagar, Kharadi Pune",745 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom2,₹98 Lac 
1345,"2 BHK Apartment for Sale in Gera Planet Of Joy, Kharadi Pune",856 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera Planet Of Joy,Bathroom2,₹98 Lac 
1346,"2 BHK Apartment for Sale in Forest County, Kharadi Pune",1250 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyForest County,Bathroom2,₹1.40 Cr 
1347,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",3859 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom4,₹3.70 Cr 
1348,"3 BHK Apartment for Sale in Gera Song of Joy, Kharadi Pune",1275 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera Song of Joy,Bathroom3,₹1.95 Cr 
